Well,528/20,590/20
A1,965
B1,981
C1,3635
D1,2833
E1,7208
F1,5435
G1,1
H1,1
A2,892
B2,902
C2,1619
D2,1537
E2,2687
F2,2413
G2,2
H2,1
A3,902
B3,904
C3,1446
D3,1387
E3,2179
F3,2146
G3,1
H3,0
A4,0
B4,2
C4,3
D4,3
E4,7
F4,3
G4,0
H4,1
A5,877
B5,894
C5,4163
D5,1762
E5,9549
F5,2833
G5,2
H5,0
A6,871
B6,905
C6,2031
D6,1190
E6,3226
F6,1503
G6,3
H6,4
A7,886
B7,901
C7,1391
D7,1146
E7,2040
F7,1549
G7,4
H7,3
A8,1
B8,1
C8,1
D8,1
E8,1
F8,1
G8,3
H8,5
A9,0
B9,1
C9,2
D9,1
E9,2
F9,2
G9,2
H9,6
A10,864
B10,862
C10,909
D10,924
E10,977
F10,946
G10,0
H10,21
A11,2
B11,2
C11,2
D11,1
E11,1
F11,2
G11,2
H11,2
A12,940
B12,912
C12,1020
D12,956
E12,1025
F12,1027
G12,1
H12,1

